Country,Cases
China,81077
Italy,24747
Iran (Islamic Republic of),14991
Republic of Korea,8236
Spain,7753
France,5380
Germany,4838
Switzerland,2200
United States of America,1678
Netherlands,1413
The United Kingdom,1395
Norway,1169
Belgium,1085
Sweden,992
Austria,959
Denmark,898
Japan,814
International conveyance (Diamond Princess),712
Malaysia,553
Qatar,401
Australia,336
Greece,331
Canada,304
Czechia,298
Finland,272
Israel,250
Portugal,245
Singapore,243
Bahrain,221
Slovenia,219
Estonia,205
Brazil,200
Ireland,169
Romania,158
Poland,150
Thailand,147
Philippines,140
Iceland,138
Indonesia,134
Egypt,126
Iraq,124
India,114
Kuwait,112
Saudi Arabia,103
Lebanon,99
United Arab Emirates,98
San Marino,92
Chile,75
Peru,71
Russian Federation,63
Slovakia,61
Viet Nam,57
Argentina,56
Mexico,53
Pakistan,52
Bulgaria,51
South Africa,51
Brunei Darussalam,50
Algeria,49
Croatia,49
Serbia,46
Panama,43
Albania,42
occupied Palestinian territory,39
Luxembourg,38
Ecuador,37
Belarus,36
Latvia,34
Cyprus,33
Georgia,33
Hungary,32
Morocco,28
Armenia,26
Senegal,26
Colombia,24
Costa Rica,23
Republic of Moldova,23
Oman,22
Malta,21
Azerbaijan,19
Sri Lanka,19
Bosnia and Herzegovina,18
Tunisia,18
Afghanistan,16
Martinique,15
Maldives,13
North Macedonia,13
Cambodia,12
Bolivia (Plurinational State of),11
Faroe Islands,11
Jamaica,10
Lithuania,9
Monaco,9
Réunion,9
Paraguay,8
French Guiana,7
Liechtenstein,7
Guadeloupe,6
Jordan,6
Kazakhstan,6
New Zealand,6
Bangladesh,5
Cameroon,5
Dominican Republic,5
Rwanda,5
Turkey,5
Cuba,4
Guyana,4
Seychelles,4
Uruguay,4
Uzbekistan,4
Burkina Faso,3
Cote d Ivoire,3
French Polynesia,3
Kenya,3
Puerto Rico,3
Saint Barthelemy,3
Ukraine,3
Andorra,2
Curacao,2
Democratic Republic of the Congo,2
Ghana,2
Honduras,2
Jersey,2
Namibia,2
Nigeria,2
Saint Martin,2
Trinidad and Tobago,2
Venezuela (Bolivarian Republic of),2
Antigua and Barbuda,1
Bhutan,1
Cayman Islands,1
Central African Republic,1
Congo,1
Equatorial Guinea,1
Eswatini,1
Ethiopia,1
Gabon,1
Gibraltar,1
Guernsey,1
Guinea,1
Holy See,1
Mauritania,1
Mayotte,1
Mongolia,1
Nepal,1
Saint Vincent and the Grenadines,1
Sudan,1
Togo,1
